%
% GALE automatic stratified fold generation for CV
%
% Generated at        : Wed Feb 21 23:46:15 CET 2001
% Random seed         : 69
% File name           : GALE.horse-colic.cv.seed.69.fold.000002.train.arff
% Number of instances : 331
%

@RELATION horse-colic

@ATTRIBUTE	'surgery'	{yes,no}
@ATTRIBUTE	'Age'	{adult,young}
@ATTRIBUTE	'rectal_temperature'	REAL
@ATTRIBUTE	'pulse'	REAL
@ATTRIBUTE	'respiratory_rate'	REAL
@ATTRIBUTE	'temp_extremities'	{normal,warm,cool,cold}
@ATTRIBUTE	'peripheral_pulse'	{normal,increased,reduced,absent}
@ATTRIBUTE	'mucous_membranes'	{'normal_pink','bright_pink','pale_pink','pale_cyanotic','bright_red','dark_cyanotic'}
@ATTRIBUTE	'capillary_refill_time'	{'<3','>=3','meaning_unknown'}
@ATTRIBUTE	'pain'	{'alert_no_pain',depressed,'intermittent_mild_pain','intermittent_severe_pain','continuous_severe_pain'}
@ATTRIBUTE	'peristalsis'	{hypermotile,normal,hypomotile,absent}
@ATTRIBUTE	'abdominal_distension'	{none,slight,moderate,severe}
@ATTRIBUTE	'nasogastric_tube'	{none,slight,significant}
@ATTRIBUTE	'nasogastric_reflux'	{none,'>1l','<1l'}
@ATTRIBUTE	'nasogastric_reflux_PH'	REAL
@ATTRIBUTE	'rectal_examination'	{normal,increased,decreased,absent}
@ATTRIBUTE	'abdomen'	{normal,other,'firm_feces_in_large_intestine','distended_small_intestine','distended_large_intestine'}
@ATTRIBUTE	'packed_cell_volume'	REAL
@ATTRIBUTE	'total_protein'	REAL
@ATTRIBUTE	'abdominocentesis_appearance'	{clear,cloudy,serosanguinous}
@ATTRIBUTE	'abdomcentesis_total_protein'	REAL
@ATTRIBUTE	'outcome'	{lived,died,euthanized}
@ATTRIBUTE	'surgical_lesion'	{yes,no}

@DATA
yes,adult,39.0,64.0,36.0,cool,normal,'pale_cyanotic','>=3','intermittent_mild_pain',hypomotile,slight,none,'>1l',7.0,absent,'distended_large_intestine',44.0,7.5,serosanguinous,5.0,lived,yes
yes,adult,38.0,48.0,?,normal,normal,'normal_pink','<3','alert_no_pain',normal,severe,slight,'>1l',?,absent,'distended_large_intestine',?,?,?,?,lived,yes
no,adult,38.0,48.0,20.0,cool,reduced,'pale_cyanotic','<3','alert_no_pain',absent,slight,slight,?,5.0,?,other,49.0,8.3,clear,?,lived,no
yes,adult,38.5,96.0,30.0,warm,reduced,'pale_cyanotic','>=3','intermittent_severe_pain',absent,moderate,slight,none,?,decreased,'distended_large_intestine',50.0,65.0,?,?,lived,yes
no,adult,38.4,48.0,16.0,normal,?,'normal_pink','<3','alert_no_pain',hypomotile,none,slight,'<1l',5.5,absent,'firm_feces_in_large_intestine',49.0,6.8,?,?,lived,no
no,adult,37.5,44.0,20.0,normal,normal,'pale_pink','<3',?,hypermotile,none,?,?,?,normal,?,35.0,7.2,?,?,lived,no
no,adult,37.0,60.0,20.0,cool,?,?,'<3','intermittent_mild_pain',?,moderate,slight,'>1l',4.5,absent,'distended_small_intestine',43.0,7.6,?,?,euthanized,yes
yes,adult,37.7,120.0,28.0,cool,reduced,'pale_pink','<3','continuous_severe_pain',hypomotile,moderate,none,none,?,?,?,65.0,7.0,serosanguinous,?,died,yes
no,adult,38.6,48.0,20.0,cool,normal,'normal_pink','<3','alert_no_pain',hypomotile,slight,slight,none,?,decreased,other,50.0,7.3,clear,?,lived,no
yes,adult,38.1,40.0,36.0,normal,increased,'bright_pink','<3',depressed,normal,?,?,?,?,?,?,?,?,?,?,euthanized,yes
yes,adult,?,60.0,36.0,cool,normal,'pale_pink','<3','intermittent_mild_pain',hypomotile,slight,none,none,?,decreased,'distended_small_intestine',26.0,72.0,cloudy,1.0,lived,yes
yes,adult,38.1,70.0,22.0,?,normal,?,'<3','continuous_severe_pain',hypomotile,?,?,?,?,?,'distended_large_intestine',36.0,65.0,?,?,euthanized,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,39.5,?,?,cool,reduced,'pale_cyanotic','>=3','intermittent_mild_pain',absent,moderate,?,'<1l',5.5,absent,'distended_large_intestine',?,6.7,clear,?,euthanized,yes
no,adult,38.3,60.0,20.0,normal,normal,'normal_pink','>=3','alert_no_pain',hypomotile,none,?,?,?,decreased,?,34.0,66.0,?,?,lived,no
yes,adult,38.2,76.0,28.0,cool,normal,'normal_pink','<3','intermittent_mild_pain',absent,none,slight,'>1l',?,absent,'distended_small_intestine',46.0,81.0,clear,2.0,lived,yes
yes,adult,37.8,40.0,12.0,normal,normal,'normal_pink','<3','alert_no_pain',normal,none,slight,none,?,normal,other,38.0,7.0,?,?,lived,yes
yes,young,38.4,84.0,40.0,cool,reduced,'bright_pink','<3','intermittent_mild_pain',hypomotile,moderate,none,none,?,?,?,36.0,6.6,cloudy,2.8,died,yes
yes,adult,37.8,88.0,22.0,warm,normal,'bright_pink','<3','intermittent_mild_pain',?,?,slight,?,?,absent,?,64.0,8.0,clear,6.0,died,yes
no,adult,36.0,42.0,30.0,?,?,'bright_red','<3',?,?,?,?,?,?,?,?,64.0,6.8,?,?,died,no
no,adult,38.5,54.0,20.0,?,normal,'bright_pink','>=3','intermittent_mild_pain',absent,none,slight,'>1l',5.9,?,other,42.0,6.3,?,?,lived,no
yes,adult,37.5,88.0,20.0,warm,reduced,'pale_pink','<3','intermittent_severe_pain',hypomotile,moderate,?,?,?,?,?,35.0,6.4,clear,?,died,yes
no,adult,38.3,40.0,16.0,cool,?,'normal_pink','<3',depressed,?,?,?,?,?,?,?,37.0,57.0,?,?,lived,no
no,adult,38.5,60.0,?,warm,increased,'normal_pink','<3','alert_no_pain',normal,slight,slight,none,?,normal,normal,44.0,7.7,?,?,lived,no
no,adult,39.4,110.0,35.0,cold,reduced,'dark_cyanotic',?,?,hypomotile,moderate,?,?,?,?,?,55.0,8.7,?,?,lived,no
yes,adult,39.3,64.0,90.0,warm,reduced,'normal_pink','<3',?,hypomotile,none,none,'>1l',?,?,?,39.0,6.7,?,?,lived,yes
yes,young,39.7,100.0,?,cool,reduced,'bright_red','>=3',depressed,hypomotile,?,?,?,?,?,?,48.0,57.0,cloudy,2.0,euthanized,yes
no,adult,38.5,100.0,?,cool,reduced,'bright_red','>=3','intermittent_severe_pain',hypomotile,severe,slight,none,?,absent,'distended_large_intestine',?,?,?,?,euthanized,no
yes,adult,37.0,56.0,24.0,cool,normal,'pale_cyanotic','>=3','intermittent_severe_pain',absent,moderate,none,none,?,?,?,35.0,61.0,serosanguinous,2.0,euthanized,no
yes,adult,38.9,80.0,44.0,cool,reduced,'pale_pink','<3',depressed,hypomotile,moderate,slight,'>1l',7.0,decreased,normal,54.0,6.5,serosanguinous,?,died,yes
yes,adult,38.2,48.0,?,normal,reduced,'pale_pink','<3','intermittent_mild_pain',absent,severe,none,'<1l',2.0,absent,'distended_large_intestine',42.0,71.0,?,?,lived,yes
yes,young,38.2,78.0,60.0,cold,absent,'dark_cyanotic',?,'intermittent_mild_pain',hypomotile,moderate,?,?,?,normal,?,59.0,5.8,serosanguinous,3.1,died,yes
no,adult,38.7,52.0,20.0,warm,?,'normal_pink','<3','alert_no_pain',hypermotile,none,none,none,?,normal,normal,33.0,77.0,?,?,lived,no
yes,adult,37.4,50.0,32.0,cool,reduced,?,'<3','intermittent_severe_pain',absent,none,slight,none,?,normal,?,45.0,7.9,cloudy,1.0,lived,yes
yes,adult,37.8,60.0,80.0,normal,reduced,'bright_pink','>=3',depressed,hypomotile,moderate,?,'>1l',5.5,absent,?,40.0,4.5,cloudy,?,lived,yes
no,adult,38.5,60.0,40.0,cool,normal,'bright_pink','<3',depressed,hypermotile,slight,?,?,?,decreased,other,49.0,59.0,?,?,lived,no
yes,adult,38.5,60.0,?,normal,normal,?,'<3',?,hypermotile,none,?,?,?,?,?,33.0,53.0,clear,?,lived,yes
yes,adult,?,76.0,?,?,reduced,?,?,?,absent,severe,?,?,?,?,'distended_large_intestine',?,?,?,?,euthanized,yes
yes,adult,38.1,88.0,32.0,cool,reduced,'pale_cyanotic','<3',depressed,hypomotile,moderate,?,'<1l',1.0,absent,'distended_large_intestine',55.0,60.0,?,?,euthanized,no
yes,young,38.1,100.0,80.0,cool,normal,'bright_pink','<3','intermittent_mild_pain',absent,none,?,?,?,normal,?,36.0,5.7,?,?,lived,yes
yes,young,38.3,130.0,60.0,?,reduced,?,'<3',depressed,absent,?,?,?,?,?,?,50.0,70.0,?,?,lived,yes
no,adult,37.5,48.0,30.0,cold,normal,'pale_pink','<3',?,normal,none,none,none,?,normal,normal,48.0,8.6,?,?,lived,no
yes,adult,38.2,40.0,16.0,cool,reduced,'normal_pink','<3','alert_no_pain',hypomotile,?,?,?,?,normal,normal,34.0,66.0,?,?,lived,no
yes,adult,?,?,?,cold,reduced,?,'>=3',depressed,absent,none,?,?,?,?,?,54.0,76.0,serosanguinous,2.0,lived,yes
yes,adult,38.3,72.0,30.0,cold,reduced,'pale_pink','>=3','intermittent_mild_pain',hypomotile,moderate,slight,none,?,decreased,'distended_large_intestine',43.0,7.0,cloudy,3.9,lived,yes
yes,adult,39.3,64.0,90.0,warm,reduced,'normal_pink','<3',?,hypomotile,none,none,'>1l',6.5,normal,'distended_large_intestine',39.0,6.7,?,?,lived,yes
yes,adult,38.6,48.0,20.0,cool,normal,'normal_pink','<3','intermittent_severe_pain',hypomotile,none,?,?,?,decreased,?,37.0,75.0,?,?,lived,yes
yes,adult,?,120.0,?,cool,absent,'pale_cyanotic','<3','intermittent_severe_pain',absent,severe,none,none,?,?,'distended_large_intestine',52.0,67.0,cloudy,2.0,euthanized,yes
yes,adult,38.5,104.0,40.0,cool,reduced,?,'<3','intermittent_severe_pain',hypomotile,severe,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,37.5,52.0,12.0,normal,normal,'normal_pink','<3',depressed,hypomotile,slight,slight,none,?,decreased,'distended_large_intestine',36.0,61.0,clear,1.0,lived,no
no,adult,37.9,88.0,24.0,normal,normal,'bright_pink','<3',depressed,normal,none,?,?,?,absent,normal,37.0,56.0,?,?,lived,no
yes,adult,38.3,132.0,?,?,reduced,'dark_cyanotic','>=3',depressed,absent,slight,slight,'<1l',6.2,absent,'distended_small_intestine',57.0,8.0,?,5.2,lived,yes
yes,adult,?,88.0,40.0,cool,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,moderate,significant,?,?,absent,'distended_large_intestine',50.0,7.7,serosanguinous,1.4,died,yes
yes,adult,38.1,52.0,24.0,normal,normal,'bright_red','<3','intermittent_severe_pain',hypomotile,none,slight,'<1l',7.0,normal,?,54.0,7.5,cloudy,2.6,died,yes
yes,adult,?,60.0,?,cool,?,?,'<3',?,absent,slight,slight,none,?,decreased,'distended_small_intestine',44.0,8.3,?,?,died,yes
yes,adult,?,?,20.0,cold,reduced,'pale_pink',?,'continuous_severe_pain',absent,moderate,slight,?,?,absent,'distended_small_intestine',53.0,5.9,serosanguinous,?,died,yes
no,young,38.0,92.0,28.0,normal,normal,'bright_pink','<3','alert_no_pain',hypomotile,slight,significant,?,7.2,?,?,37.0,6.1,clear,1.1,lived,no
no,adult,36.6,42.0,18.0,cool,reduced,'bright_pink','<3','alert_no_pain',absent,none,none,none,?,?,'distended_large_intestine',52.0,7.1,?,?,died,yes
yes,adult,?,120.0,70.0,cold,?,'pale_cyanotic','>=3',depressed,absent,?,?,?,?,?,'distended_large_intestine',55.0,65.0,?,?,euthanized,no
no,adult,37.2,36.0,9.0,normal,normal,'normal_pink','<3',depressed,hypomotile,none,slight,none,?,absent,normal,35.0,5.7,?,?,lived,no
no,adult,37.9,40.0,24.0,normal,normal,'normal_pink','<3',depressed,hypomotile,none,?,?,?,?,'firm_feces_in_large_intestine',40.0,5.7,?,?,lived,yes
no,adult,37.5,48.0,24.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
no,adult,38.6,60.0,30.0,normal,normal,'pale_pink','<3','intermittent_severe_pain',normal,slight,none,none,?,?,?,40.0,6.0,clear,?,lived,yes
no,adult,38.2,130.0,16.0,cold,reduced,'pale_cyanotic','>=3',depressed,absent,severe,none,none,?,?,?,65.0,82.0,cloudy,2.0,euthanized,no
yes,adult,38.3,80.0,40.0,?,?,'dark_cyanotic','>=3','intermittent_severe_pain',hypomotile,none,?,'>1l',?,normal,'distended_small_intestine',67.0,10.2,cloudy,1.0,euthanized,yes
no,adult,38.8,50.0,20.0,cool,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,slight,none,?,decreased,normal,42.0,6.2,?,?,lived,no
yes,adult,?,68.0,14.0,?,?,'pale_cyanotic','<3','intermittent_severe_pain',?,?,?,none,4.3,?,?,?,?,cloudy,2.8,died,yes
no,adult,37.5,48.0,24.0,cool,normal,'normal_pink','<3',depressed,hypermotile,?,none,none,?,decreased,other,43.0,6.0,clear,2.8,lived,no
yes,adult,39.2,120.0,20.0,cold,reduced,'bright_red','>=3',depressed,hypomotile,moderate,none,'<1l',?,?,'distended_small_intestine',60.0,8.8,serosanguinous,?,died,yes
no,young,38.0,92.0,28.0,normal,normal,'bright_pink','<3','alert_no_pain',hypomotile,slight,significant,?,7.2,normal,normal,37.0,6.1,clear,?,died,no
yes,adult,38.3,42.0,24.0,?,?,?,'<3',?,?,?,?,?,?,?,?,40.0,8.5,?,?,died,yes
yes,adult,38.5,92.0,40.0,cold,reduced,?,'<3',depressed,absent,moderate,?,?,?,absent,?,46.0,67.0,cloudy,2.0,lived,yes
no,adult,38.6,68.0,20.0,warm,normal,'pale_pink','<3','intermittent_mild_pain',hypomotile,slight,none,none,?,normal,'distended_large_intestine',38.0,6.5,clear,?,lived,no
yes,adult,37.7,80.0,?,cool,reduced,'dark_cyanotic','<3','continuous_severe_pain',absent,none,slight,'<1l',?,decreased,normal,50.0,55.0,serosanguinous,2.0,lived,yes
yes,adult,39.2,?,23.0,cool,normal,'pale_pink','<3','intermittent_severe_pain',absent,slight,slight,?,?,?,?,36.0,6.6,clear,3.0,lived,yes
no,adult,38.2,42.0,?,cool,normal,'normal_pink','<3','alert_no_pain',hypermotile,slight,slight,none,?,decreased,other,35.0,5.9,cloudy,?,lived,no
yes,adult,38.4,80.0,30.0,cold,reduced,'normal_pink','<3','intermittent_mild_pain',hypomotile,moderate,significant,'<1l',?,absent,'distended_large_intestine',32.0,6.1,serosanguinous,4.3,lived,yes
yes,adult,37.9,60.0,15.0,cool,?,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,slight,'>1l',?,absent,'distended_large_intestine',65.0,7.5,?,?,lived,yes
no,adult,38.3,44.0,60.0,?,?,'normal_pink','<3',?,?,?,?,?,?,?,?,6.4,36.0,?,?,lived,yes
yes,adult,?,?,?,cool,normal,'normal_pink','<3',depressed,hypomotile,moderate,none,'<1l',6.0,absent,'distended_small_intestine',?,?,cloudy,?,died,yes
yes,adult,36.8,60.0,28.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.0,died,yes
no,adult,?,?,?,cool,reduced,'normal_pink','<3','continuous_severe_pain',hypomotile,moderate,none,none,?,absent,'distended_large_intestine',38.0,6.5,?,?,died,yes
yes,adult,?,104.0,?,cool,reduced,'bright_red','>=3',depressed,absent,moderate,?,'<1l',?,absent,'distended_small_intestine',69.0,8.6,cloudy,3.4,died,yes
yes,adult,39.3,100.0,51.0,cold,absent,'dark_cyanotic','<3',depressed,absent,none,none,'<1l',2.0,?,'distended_small_intestine',66.0,13.0,serosanguinous,2.0,euthanized,yes
no,adult,37.8,48.0,14.0,?,?,'normal_pink','<3','intermittent_mild_pain',?,slight,none,'<1l',5.3,normal,?,35.0,7.5,?,?,lived,no
no,adult,38.5,100.0,?,cool,reduced,'bright_red','>=3','intermittent_severe_pain',hypomotile,severe,slight,none,?,absent,'distended_large_intestine',?,?,?,?,euthanized,no
yes,adult,?,40.0,?,warm,normal,'normal_pink','<3','alert_no_pain',hypomotile,none,none,none,?,?,'distended_large_intestine',39.0,56.0,?,?,lived,yes
yes,adult,38.1,52.0,24.0,normal,normal,'bright_red','<3','intermittent_severe_pain',hypomotile,none,slight,'<1l',7.0,normal,?,54.0,7.5,cloudy,2.6,died,yes
no,adult,37.8,40.0,16.0,normal,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,?,?,?,normal,normal,37.0,6.8,?,?,lived,no
no,adult,38.3,42.0,10.0,normal,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,?,?,?,?,?,38.0,61.0,?,?,lived,no
no,adult,37.8,48.0,16.0,normal,normal,'normal_pink','<3',?,hypermotile,none,slight,none,?,absent,'firm_feces_in_large_intestine',43.0,7.5,?,?,lived,no
yes,adult,38.0,44.0,12.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,moderate,slight,none,?,absent,'distended_large_intestine',42.0,65.0,?,?,lived,yes
no,adult,37.1,114.0,40.0,cool,?,'pale_pink','>=3',depressed,normal,none,?,?,?,?,'firm_feces_in_large_intestine',32.0,?,serosanguinous,6.5,lived,no
no,adult,?,56.0,68.0,cool,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,none,slight,none,?,normal,?,40.0,6.0,?,?,euthanized,yes
yes,adult,37.9,68.0,20.0,?,normal,'bright_pink','<3',depressed,absent,slight,?,?,?,normal,'distended_large_intestine',45.0,4.0,serosanguinous,2.8,died,yes
yes,adult,38.1,60.0,12.0,cool,reduced,'pale_pink','<3',?,absent,moderate,significant,'>1l',2.0,?,?,51.0,65.0,?,?,lived,yes
yes,adult,37.8,52.0,24.0,normal,reduced,'pale_pink','<3','intermittent_severe_pain',absent,none,slight,'<1l',5.7,increased,'distended_large_intestine',48.0,6.6,clear,3.7,died,yes
yes,adult,?,60.0,20.0,cold,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,?,?,none,?,absent,'distended_large_intestine',?,?,?,?,euthanized,yes
yes,adult,37.6,68.0,32.0,cool,?,'pale_pink','<3','intermittent_severe_pain',normal,severe,slight,'>1l',6.5,normal,'distended_large_intestine',47.0,7.2,clear,?,lived,yes
no,adult,38.3,40.0,24.0,normal,normal,'pale_pink','<3','intermittent_mild_pain',hypomotile,none,?,?,?,normal,normal,33.0,6.7,?,?,lived,no
no,adult,38.0,56.0,?,normal,increased,'pale_pink','<3','alert_no_pain',hypermotile,none,none,none,?,normal,normal,42.0,71.0,?,?,lived,no
no,adult,?,?,?,warm,normal,'pale_pink','<3',depressed,hypomotile,slight,slight,none,?,decreased,'firm_feces_in_large_intestine',?,?,?,?,lived,no
yes,adult,38.2,60.0,30.0,normal,normal,'pale_pink','<3','intermittent_mild_pain',hypomotile,none,slight,none,?,decreased,other,48.0,66.0,?,?,lived,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45.0,8.7,?,?,died,yes
no,adult,38.0,56.0,44.0,cool,reduced,'pale_pink',?,?,hypermotile,none,slight,none,?,absent,?,47.0,70.0,cloudy,1.0,lived,no
no,adult,39.0,84.0,12.0,cool,normal,'bright_red','<3',depressed,absent,slight,none,'>1l',7.0,?,'distended_small_intestine',62.0,5.9,cloudy,2.2,died,yes
yes,adult,38.2,64.0,28.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypermotile,?,?,?,?,absent,'distended_small_intestine',49.0,8.6,cloudy,6.6,lived,yes
no,adult,38.9,44.0,14.0,cool,normal,'normal_pink','<3',depressed,hypomotile,slight,?,?,?,?,other,33.0,64.0,?,?,lived,no
no,adult,?,40.0,16.0,?,?,?,'<3',?,?,?,?,?,?,?,?,50.0,7.0,cloudy,3.9,euthanized,yes
yes,adult,?,140.0,?,?,?,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,none,none,?,?,'distended_large_intestine',30.0,69.0,?,?,died,no
no,adult,37.8,60.0,16.0,normal,normal,'pale_pink','<3',depressed,hypomotile,slight,none,'>1l',?,decreased,?,41.0,73.0,?,?,euthanized,no
yes,young,39.2,146.0,96.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
no,adult,37.8,48.0,32.0,normal,normal,'pale_pink','<3',depressed,hypermotile,?,none,none,?,absent,'distended_large_intestine',37.0,6.7,?,?,lived,no
no,adult,37.8,42.0,40.0,normal,normal,'normal_pink','<3','alert_no_pain',hypomotile,none,?,?,?,decreased,'firm_feces_in_large_intestine',36.0,6.2,?,?,lived,no
yes,adult,38.6,42.0,34.0,warm,normal,'pale_cyanotic',?,depressed,hypomotile,none,?,?,?,normal,?,48.0,7.2,?,?,lived,yes
yes,adult,38.3,72.0,30.0,cold,reduced,'pale_pink','>=3','intermittent_mild_pain',hypomotile,moderate,slight,none,?,decreased,'distended_large_intestine',43.0,7.0,cloudy,3.9,lived,yes
yes,adult,37.8,60.0,24.0,normal,?,'pale_pink','>=3',?,absent,severe,slight,'<1l',2.0,?,'distended_large_intestine',52.0,75.0,?,?,euthanized,yes
yes,young,38.8,124.0,36.0,cool,normal,'bright_pink','<3',depressed,hypomotile,severe,none,none,?,absent,'distended_small_intestine',50.0,7.6,serosanguinous,?,died,yes
yes,adult,37.5,48.0,40.0,?,?,?,?,?,?,?,none,none,?,?,'distended_large_intestine',41.0,55.0,serosanguinous,2.0,euthanized,yes
yes,adult,?,70.0,36.0,normal,?,'pale_pink','>=3',depressed,hypomotile,slight,slight,?,?,absent,'distended_large_intestine',36.0,7.3,?,?,lived,yes
no,adult,38.0,42.0,12.0,cool,?,'pale_pink','<3','alert_no_pain',?,none,?,?,?,?,other,37.0,5.8,?,?,lived,no
?,adult,38.0,65.0,40.0,?,normal,'pale_cyanotic','>=3',depressed,?,?,?,?,?,?,'distended_large_intestine',?,?,?,?,?,yes
yes,adult,38.3,60.0,16.0,cool,normal,'normal_pink','<3',depressed,hypermotile,none,slight,'>1l',3.0,normal,'distended_small_intestine',30.0,6.0,clear,3.0,lived,yes
no,adult,37.2,84.0,48.0,cool,reduced,'bright_red','>=3','intermittent_severe_pain',hypermotile,slight,none,'>1l',?,increased,normal,73.0,5.5,cloudy,4.1,died,no
?,adult,38.0,48.0,20.0,cool,normal,'pale_pink','<3','intermittent_severe_pain',hypomotile,none,slight,none,?,decreased,'distended_large_intestine',43.0,73.0,cloudy,1.0,?,yes
yes,adult,?,112.0,13.0,cold,absent,'pale_cyanotic','<3',depressed,hypomotile,none,slight,none,4.5,absent,'distended_small_intestine',60.0,6.3,serosanguinous,?,lived,yes
yes,adult,36.6,48.0,16.0,cool,normal,'pale_pink','<3','intermittent_severe_pain',hypermotile,none,none,none,?,?,?,27.0,56.0,?,?,euthanized,yes
yes,adult,37.1,84.0,40.0,cool,reduced,'dark_cyanotic','<3',depressed,absent,severe,significant,'>1l',2.0,absent,'distended_large_intestine',75.0,81.0,?,?,euthanized,no
yes,adult,36.5,100.0,24.0,cool,reduced,'pale_pink','<3','intermittent_mild_pain',hypomotile,moderate,significant,none,?,absent,'distended_small_intestine',50.0,6.0,serosanguinous,3.4,lived,yes
yes,adult,?,65.0,24.0,?,?,?,'>=3','continuous_severe_pain',?,severe,significant,none,?,?,'distended_large_intestine',?,?,?,?,euthanized,yes
no,adult,38.0,54.0,30.0,warm,reduced,'pale_pink','meaning_unknown','intermittent_mild_pain',hypermotile,slight,slight,'>1l',?,?,'distended_small_intestine',45.0,6.2,?,?,lived,no
yes,young,38.0,140.0,68.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,?,?,?,increased,normal,39.0,5.3,?,?,lived,yes
yes,adult,?,100.0,30.0,cool,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,significant,'<1l',?,absent,'distended_small_intestine',52.0,6.6,?,?,lived,yes
yes,adult,39.2,88.0,20.0,?,?,'pale_cyanotic','<3','intermittent_mild_pain',absent,slight,?,?,?,absent,other,50.0,85.0,cloudy,2.0,euthanized,no
no,adult,36.9,50.0,40.0,warm,reduced,'pale_pink','<3','alert_no_pain',hypomotile,slight,significant,none,7.0,?,?,37.5,6.5,?,?,lived,no
no,adult,39.6,108.0,51.0,cool,reduced,'dark_cyanotic','>=3',depressed,absent,moderate,none,'>1l',?,decreased,'distended_large_intestine',59.0,8.0,cloudy,2.6,lived,no
no,young,?,100.0,44.0,warm,normal,'normal_pink','<3','intermittent_severe_pain',hypermotile,none,?,?,?,normal,?,37.0,4.7,?,?,lived,no
yes,adult,?,36.0,12.0,normal,normal,'normal_pink','<3','alert_no_pain',normal,none,none,none,?,normal,'distended_large_intestine',44.0,?,?,?,lived,yes
yes,adult,?,120.0,?,cold,reduced,'dark_cyanotic','>=3','continuous_severe_pain',absent,severe,?,?,?,absent,'distended_large_intestine',57.0,4.5,serosanguinous,3.9,died,yes
yes,adult,?,60.0,48.0,cool,reduced,'pale_cyanotic','>=3','intermittent_severe_pain',hypomotile,severe,?,?,?,?,?,58.0,7.6,?,?,died,yes
yes,adult,37.7,56.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,38.2,52.0,16.0,normal,normal,'bright_pink','<3','alert_no_pain',normal,none,none,none,?,normal,?,43.0,8.1,?,?,lived,no
yes,adult,38.8,50.0,14.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypermotile,none,none,none,?,decreased,'distended_large_intestine',38.0,58.0,?,?,lived,yes
yes,young,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.0,4.9,?,?,died,yes
no,adult,38.2,56.0,40.0,cold,reduced,'normal_pink','<3',depressed,absent,moderate,slight,'>1l',7.5,?,?,47.0,7.2,clear,2.5,lived,no
no,adult,36.1,88.0,?,cool,reduced,'pale_pink','<3','intermittent_mild_pain',hypomotile,slight,slight,'<1l',?,?,'distended_small_intestine',45.0,7.0,serosanguinous,4.8,euthanized,yes
yes,adult,38.1,66.0,12.0,cool,reduced,'bright_red','<3','intermittent_mild_pain',hypomotile,none,slight,none,3.0,increased,'distended_large_intestine',44.0,6.0,cloudy,3.6,lived,yes
yes,young,?,128.0,36.0,cool,reduced,'pale_cyanotic','>=3','intermittent_severe_pain',absent,moderate,significant,?,?,absent,'distended_large_intestine',53.0,7.8,serosanguinous,4.7,died,no
yes,adult,37.8,48.0,28.0,normal,normal,'normal_pink','>=3','alert_no_pain',normal,none,slight,?,?,normal,normal,46.0,5.9,cloudy,7.0,lived,no
no,adult,?,84.0,36.0,?,?,'pale_pink','<3',?,hypomotile,none,slight,none,?,decreased,other,44.0,8.5,?,?,lived,yes
yes,adult,37.6,40.0,?,normal,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,?,?,?,normal,normal,?,?,cloudy,2.1,lived,yes
yes,adult,38.0,90.0,30.0,cold,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,?,?,?,absent,'distended_large_intestine',55.0,6.1,?,?,died,yes
no,adult,?,120.0,?,cold,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,none,none,?,absent,'distended_large_intestine',60.0,6.5,serosanguinous,?,died,yes
yes,adult,38.3,52.0,96.0,?,reduced,'pale_pink','<3',?,?,?,none,none,?,normal,?,43.0,6.1,?,?,lived,yes
no,adult,38.0,40.0,25.0,?,normal,'normal_pink','<3','intermittent_severe_pain',hypomotile,slight,none,none,?,absent,?,37.0,69.0,?,?,lived,no
yes,adult,38.1,44.0,9.0,cool,normal,'normal_pink','<3',depressed,normal,none,none,none,?,absent,'distended_large_intestine',31.0,7.3,?,?,lived,no
yes,adult,38.2,42.0,20.0,?,?,'normal_pink','<3',?,hypomotile,?,?,?,?,decreased,?,47.0,60.0,?,?,lived,no
no,adult,?,104.0,24.0,cold,reduced,'pale_pink','>=3','intermittent_severe_pain',absent,moderate,?,'<1l',?,?,other,73.0,8.4,?,?,euthanized,yes
